"","Aeroporto","week","sum_ObxAb","sum_ObxAbxMassxFlock","sum_ObxAbxS","Voos_como_Destino","Voos_como_Origem","Total_Voos","prod_ObxAb","prod_ObxAbxMassxFlock","prod_ObxAbxS","norm_sum_ObxAb","norm_sum_ObxAbxMassxFlock","norm_sum_ObxAbxS","norm_Total_Voos","rel_product_ObxAb","rel_product_ObxAbxMassxFlock","rel_product_ObxAbxS","real_mul_ObxAb","real_mul_ObxAbxMassxFlock","real_mul_ObxAbxS","real_product_ObxAb","real_product_ObxAbxMassxFlock","real_product_ObxAbxS","rel_product_ObxAb_norm","rel_product_ObxAbxMassxFlock_norm","rel_product_ObxAbxS_norm"
"608","SBCG",37,6.54389929822034,10472.5088210745,275.885775428307,58,57,115,752.548419295339,1204338.51442357,31726.8641742553,0.591957694604188,0.607458558573743,0.620622409174205,0.425339366515837,0.251782910827121,0.258376038488379,0.263975142363689,752.548419295339,1204338.51442357,31726.8641742553,0.5148323543243,0.540331172403522,0.545867198104889,0.471588206356867,0.579640816439932,0.590721833268585
"609","SBCG",38,6.97602795749163,10846.4808283051,285.474320615284,63,62,125,872.003494686453,1355810.10353814,35684.2900769105,0.695876217646332,0.668147510363011,0.679091498878237,0.470588235294118,0.327471161245333,0.314422357817887,0.319572470060347,872.003494686453,1355810.10353814,35684.2900769105,0.613628305943942,0.622613824938056,0.627963229929538,0.613351942981239,0.705375131760624,0.71513716665083
"610","SBCG",39,7.45047604072954,10910.9909874544,286.483665918481,62,61,123,916.408553009733,1342051.89145689,35237.4909079731,0.809971737608842,0.678616352583378,0.685246290864315,0.461538461538462,0.373833109665619,0.313207547346174,0.316267518860453,916.408553009733,1342051.89145689,35237.4909079731,0.650353744184304,0.615140065728194,0.618694467937634,0.700187654058329,0.702649825893396,0.707741368644309
"611","SBCG",40,7.92870306844319,10859.9228923162,284.807986153054,64,64,128,1014.87399276073,1390070.13021647,36455.4222275909,0.924976020089532,0.670328916347798,0.675028320503906,0.484162895927602,0.447839068550135,0.324548389362961,0.326823666488316,1014.87399276073,1390070.13021647,36455.4222275909,0.731790106682885,0.641224614509061,0.643960216642744,0.838800466561845,0.728091871387186,0.731363846212269
"612","SBCG",41,7.77221094711536,10734.6401684541,282.544765314657,66,63,129,1002.61521217788,1384768.58173057,36448.2747255908,0.887342713972914,0.649997776472384,0.6612276385819,0.48868778280543,0.433633543479976,0.317645972212749,0.323133868628259,1002.61521217788,1384768.58173057,36448.2747255908,0.721651417393934,0.638344698384131,0.643811943101785,0.812193584997934,0.71260698843997,0.723106840886818
"613","SBCG",42,7.73637334631108,10758.6211141793,282.595452275445,73,78,151,1168.19237529297,1624551.78824108,42671.9132935922,0.878724469232482,0.653889454006647,0.661536717842553,0.588235294117647,0.516896746607343,0.384640855298028,0.389139245789737,1168.19237529297,1624551.78824108,42671.9132935922,0.858592885497122,0.768600136913906,0.772920116574082,0.968145172376805,0.862903312185933,0.870813238744135
"614","SBCG",43,7.94575774965126,11509.0994528729,301.632680111964,73,75,148,1175.97214694839,1703346.71902519,44641.6366565707,0.929077338629907,0.775678632969928,0.777622042611251,0.574660633484163,0.533904171972842,0.445751974602628,0.44686877561823,1175.97214694839,1703346.71902519,44641.6366565707,0.865027186773676,0.811403252330408,0.813781645221869,1,1,1
"615","SBCG",44,7.76362497472584,11642.6537447661,305.230916182181,67,65,132,1024.79849666381,1536830.29430912,40290.4809360479,0.885277954900686,0.797352100034948,0.799563388609343,0.502262443438914,0.444641868751023,0.400480014044702,0.401590661247226,1024.79849666381,1536830.29430912,40290.4809360479,0.739998220103328,0.720947918783718,0.723517764787271,0.832812126393424,0.898436881635164,0.898676934166271
"616","SBCG",45,7.59847525434016,11371.2250744862,297.209131987751,70,68,138,1048.58958509894,1569229.0602791,41014.8602143097,0.845562664893669,0.75330409332229,0.750648103703813,0.529411764705882,0.447650822590766,0.398808049405918,0.39740193725496,1048.58958509894,1569229.0602791,41014.8602143097,0.75967476556881,0.738547631168321,0.738544872241486,0.838447882766378,0.894685996088836,0.889303435231441
"617","SBCG",46,7.30148916676318,11101.6197859948,288.893070697972,71,71,142,1036.81146168037,1576430.00961126,41022.816039112,0.774143297251846,0.709551988782287,0.699938374119731,0.547511312217195,0.423852212522504,0.38848774046451,0.383224177685464,1036.81146168037,1576430.00961126,41022.816039112,0.749933606328641,0.742459343029803,0.738709914282002,0.793873198173967,0.871533414542544,0.85757653833675
